MONORTM RESULTS:
----------------
NWN :     101                                                                                                                   Molecular Optical Depths -->
PROF FREQ(GHz)      BT(K)      TMR(K)  RAD(W/cm2_ster_cm-1)   TRANS     PWV     CLW  TBOUND    EMIS    REFL    ANGLE    TOTAL_OD      H2O         CO2          O3         N2O          CO         CH4          O2          NO         SO2         NO2         NH3        HNO3          OH          HF         HCL         HBR          HI         CLO         OCS        H2CO        HOCL          N2        XSEC_OD
    1     9.294    6.08508  260.01285      4.665635967E-13  0.98705  1.4103  0.0000    2.75    1.00    0.00    0.000  1.3036E-02  1.8436E-03  8.8353E-15  1.0954E-06  3.8417E-09  2.5114E-11  0.0000E+00  1.1141E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  5.0335E-05  0.0000E+00
    1     9.593    6.14246  260.20343      5.014167076E-13  0.98684  1.4103  0.0000    2.75    1.00    0.00    0.000  1.3251E-02  1.9905E-03  9.4146E-15  1.9847E-06  4.0958E-09  2.6764E-11  0.0000E+00  1.1205E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  5.3635E-05  0.0000E+00
    1     9.893    6.20299  260.39154      5.380669859E-13  0.98661  1.4103  0.0000    2.75    1.00    0.00    0.000  1.3478E-02  2.1453E-03  1.0012E-14  4.7364E-06  4.3582E-09  2.8467E-11  0.0000E+00  1.1271E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  5.7039E-05  0.0000E+00
    1    10.193    6.27090  260.51983      5.769961574E-13  0.98636  1.4103  0.0000    2.75    1.00    0.00    0.000  1.3738E-02  2.3073E-03  1.0628E-14  2.9830E-05  4.6291E-09  3.0223E-11  0.0000E+00  1.1340E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  6.0548E-05  0.0000E+00
    1    10.493    6.33100  260.78674      6.168171468E-13  0.98614  1.4103  0.0000    2.75    1.00    0.00    0.000  1.3958E-02  2.4750E-03  1.1263E-14  8.2638E-06  4.9083E-09  3.2032E-11  0.0000E+00  1.1411E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  6.4162E-05  0.0000E+00
    1    10.793    6.39825  260.99658      6.590266797E-13  0.98589  1.4103  0.0000    2.75    1.00    0.00    0.000  1.4210E-02  2.6491E-03  1.1916E-14  8.4889E-06  5.1960E-09  3.3893E-11  0.0000E+00  1.1484E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  6.7880E-05  0.0000E+00
    1    11.092    6.47445  261.13371      7.039860920E-13  0.98560  1.4103  0.0000    2.75    1.00    0.00    0.000  1.4500E-02  2.8314E-03  1.2587E-14  3.6833E-05  5.4922E-09  3.5808E-11  0.0000E+00  1.1560E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  7.1704E-05  0.0000E+00
    1    11.392    6.54143  261.43320      7.497189081E-13  0.98536  1.4103  0.0000    2.75    1.00    0.00    0.000  1.4745E-02  3.0238E-03  1.3276E-14  6.6122E-06  5.7969E-09  3.7776E-11  0.0000E+00  1.1639E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  7.5632E-05  0.0000E+00
    1    11.692    6.61807  261.66421      7.984606680E-13  0.98508  1.4103  0.0000    2.75    1.00    0.00    0.000  1.5031E-02  3.2281E-03  1.3984E-14  3.0655E-06  6.1101E-09  3.9797E-11  0.0000E+00  1.1720E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  7.9664E-05  0.0000E+00
    1    11.992    6.69958  261.89274      8.497959321E-13  0.98478  1.4103  0.0000    2.75    1.00    0.00    0.000  1.5336E-02  3.4460E-03  1.4711E-14  1.8831E-06  6.4319E-09  4.1871E-11  0.0000E+00  1.1804E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  8.3802E-05  0.0000E+00
    1    12.291    6.78607  262.12479      9.038729019E-13  0.98446  1.4103  0.0000    2.75    1.00    0.00    0.000  1.5659E-02  3.6793E-03  1.5456E-14  1.3206E-06  6.7623E-09  4.3998E-11  0.0000E+00  1.1890E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  8.8044E-05  0.0000E+00
    1    12.591    6.87805  262.36217      9.609052091E-13  0.98412  1.4103  0.0000    2.75    1.00    0.00    0.000  1.6003E-02  3.9302E-03  1.6219E-14  1.0013E-06  7.1013E-09  4.6179E-11  0.0000E+00  1.1980E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  9.2391E-05  0.0000E+00
    1    12.891    6.97617  262.60603      1.021147479E-12  0.98376  1.4103  0.0000    2.75    1.00    0.00    0.000  1.6370E-02  4.2010E-03  1.7000E-14  7.9968E-07  7.4490E-09  4.8413E-11  0.0000E+00  1.2072E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  9.6842E-05  0.0000E+00
    1    13.191    7.08118  262.85734      1.084894160E-12  0.98338  1.4103  0.0000    2.75    1.00    0.00    0.000  1.6763E-02  4.4945E-03  1.7800E-14  6.6284E-07  7.8055E-09  5.0701E-11  0.0000E+00  1.2167E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.0140E-04  0.0000E+00
    1    13.491    7.19390  263.11696      1.152482312E-12  0.98296  1.4103  0.0000    2.75    1.00    0.00    0.000  1.7185E-02  4.8140E-03  1.8619E-14  5.6512E-07  8.1706E-09  5.3042E-11  0.0000E+00  1.2265E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.0606E-04  0.0000E+00
    1    13.790    7.31529  263.38566      1.224298626E-12  0.98251  1.4103  0.0000    2.75    1.00    0.00    0.000  1.7640E-02  5.1627E-03  1.9456E-14  4.9264E-07  8.5446E-09  5.5436E-11  0.0000E+00  1.2366E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.1082E-04  0.0000E+00
    1    14.090    7.44639  263.66418      1.300789880E-12  0.98203  1.4103  0.0000    2.75    1.00    0.00    0.000  1.8131E-02  5.5446E-03  2.0311E-14  4.3730E-07  8.9274E-09  5.7884E-11  0.0000E+00  1.2470E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.1569E-04  0.0000E+00
    1    14.390    7.58845  263.95319      1.382476488E-12  0.98151  1.4103  0.0000    2.75    1.00    0.00    0.000  1.8663E-02  5.9644E-03  2.1184E-14  3.9406E-07  9.3191E-09  6.0386E-11  0.0000E+00  1.2577E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.2067E-04  0.0000E+00
    1    14.690    7.74289  264.25334      1.469969350E-12  0.98094  1.4103  0.0000    2.75    1.00    0.00    0.000  1.9241E-02  6.4273E-03  2.2076E-14  3.5967E-07  9.7197E-09  6.2941E-11  0.0000E+00  1.2688E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.2575E-04  0.0000E+00
    1    14.990    7.91142  264.56528      1.563990623E-12  0.98032  1.4103  0.0000    2.75    1.00    0.00    0.000  1.9872E-02  6.9396E-03  2.2987E-14  3.3192E-07  1.0129E-08  6.5550E-11  0.0000E+00  1.2801E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.3093E-04  0.0000E+00
    1    15.289    8.09605  264.88961      1.665399420E-12  0.97965  1.4103  0.0000    2.75    1.00    0.00    0.000  2.0564E-02  7.5090E-03  2.3916E-14  3.0928E-07  1.0548E-08  6.8214E-11  0.0000E+00  1.2919E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.3622E-04  0.0000E+00
    1    15.589    8.29917  265.22689      1.775223812E-12  0.97890  1.4103  0.0000    2.75    1.00    0.00    0.000  2.1326E-02  8.1444E-03  2.4863E-14  2.9065E-07  1.0975E-08  7.0930E-11  0.0000E+00  1.3039E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.4162E-04  0.0000E+00
    1    15.889    8.52366  265.57761      1.894700895E-12  0.97808  1.4103  0.0000    2.75    1.00    0.00    0.000  2.2167E-02  8.8566E-03  2.5828E-14  2.7523E-07  1.1412E-08  7.3701E-11  0.0000E+00  1.3164E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.4711E-04  0.0000E+00
    1    16.189    8.77295  265.94212      2.025327153E-12  0.97716  1.4103  0.0000    2.75    1.00    0.00    0.000  2.3103E-02  9.6586E-03  2.6812E-14  2.6242E-07  1.1858E-08  7.6527E-11  0.0000E+00  1.3291E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.5272E-04  0.0000E+00
    1    16.489    9.05122  266.32056      2.168921902E-12  0.97614  1.4103  0.0000    2.75    1.00    0.00    0.000  2.4148E-02  1.0566E-02  2.7815E-14  2.5176E-07  1.2313E-08  7.9406E-11  0.0000E+00  1.3423E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.5842E-04  0.0000E+00
    1    16.788    9.36348  266.71281      2.327707241E-12  0.97500  1.4103  0.0000    2.75    1.00    0.00    0.000  2.5322E-02  1.1599E-02  2.8836E-14  2.4291E-07  1.2777E-08  8.2339E-11  0.0000E+00  1.3559E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.6424E-04  0.0000E+00
    1    17.088    9.71581  267.11830      2.504408598E-12  0.97370  1.4103  0.0000    2.75    1.00    0.00    0.000  2.6648E-02  1.2779E-02  2.9875E-14  2.3560E-07  1.3251E-08  8.5327E-11  0.0000E+00  1.3698E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.7015E-04  0.0000E+00
    1    17.388   10.11563  267.53596      2.702380530E-12  0.97224  1.4103  0.0000    2.75    1.00    0.00    0.000  2.8154E-02  1.4136E-02  3.0932E-14  2.2962E-07  1.3734E-08  8.8369E-11  0.0000E+00  1.3842E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.7618E-04  0.0000E+00
